Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 2503, Val batches: 157
Model initialized with u_dim=374, hidden_dim=64, num_layers=4

============================================================
PHASE 1: Adam Optimizer
============================================================
  Epoch 1 | Batch 100/2503 | Batch Loss: 0.047260
  Epoch 1 | Batch 200/2503 | Batch Loss: 1.583972
  Epoch 1 | Batch 300/2503 | Batch Loss: 1.140433
  Epoch 1 | Batch 400/2503 | Batch Loss: 1.171369
  Epoch 1 | Batch 500/2503 | Batch Loss: 0.020864
  Epoch 1 | Batch 600/2503 | Batch Loss: 0.003792
  Epoch 1 | Batch 700/2503 | Batch Loss: 0.039701
  Epoch 1 | Batch 800/2503 | Batch Loss: 0.007799
  Epoch 1 | Batch 900/2503 | Batch Loss: 0.026735
  Epoch 1 | Batch 1000/2503 | Batch Loss: 0.019395
  Epoch 1 | Batch 1100/2503 | Batch Loss: 0.003852
  Epoch 1 | Batch 1200/2503 | Batch Loss: 0.018089
  Epoch 1 | Batch 1300/2503 | Batch Loss: 0.015151
  Epoch 1 | Batch 1400/2503 | Batch Loss: 0.023355
  Epoch 1 | Batch 1500/2503 | Batch Loss: 0.311364
  Epoch 1 | Batch 1600/2503 | Batch Loss: 0.274415
  Epoch 1 | Batch 1700/2503 | Batch Loss: 0.018388
  Epoch 1 | Batch 1800/2503 | Batch Loss: 0.126716
  Epoch 1 | Batch 1900/2503 | Batch Loss: 0.070713
  Epoch 1 | Batch 2000/2503 | Batch Loss: 0.030199
  Epoch 1 | Batch 2100/2503 | Batch Loss: 0.005302
  Epoch 1 | Batch 2200/2503 | Batch Loss: 0.047227
  Epoch 1 | Batch 2300/2503 | Batch Loss: 0.036731
  Epoch 1 | Batch 2400/2503 | Batch Loss: 0.001722
  Epoch 1 | Batch 2500/2503 | Batch Loss: 0.018467

Adam Epoch 1/100 | Time: 221.8s | LR: 1.00e-03
  Train Loss: 0.120736 | Val MSE: 0.007878 *** New Best ***
  Components - Data: 0.1002 | PDE: 0.0034 | Arb: 0.0018
              Term: 0.0081 | Lower: 0.0015 | Upper: 0.0261
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 2 | Batch 100/2503 | Batch Loss: 0.001635
  Epoch 2 | Batch 200/2503 | Batch Loss: 0.004482
  Epoch 2 | Batch 300/2503 | Batch Loss: 0.001387
  Epoch 2 | Batch 400/2503 | Batch Loss: 0.017239
  Epoch 2 | Batch 500/2503 | Batch Loss: 0.001464
  Epoch 2 | Batch 600/2503 | Batch Loss: 0.008699
  Epoch 2 | Batch 700/2503 | Batch Loss: 0.047348
  Epoch 2 | Batch 800/2503 | Batch Loss: 0.000781
  Epoch 2 | Batch 900/2503 | Batch Loss: 0.007630
  Epoch 2 | Batch 1000/2503 | Batch Loss: 0.009262
  Epoch 2 | Batch 1100/2503 | Batch Loss: 0.013946
  Epoch 2 | Batch 1200/2503 | Batch Loss: 0.001472
  Epoch 2 | Batch 1300/2503 | Batch Loss: 0.002027
  Epoch 2 | Batch 1400/2503 | Batch Loss: 0.001567
  Epoch 2 | Batch 1500/2503 | Batch Loss: 0.001140
  Epoch 2 | Batch 1600/2503 | Batch Loss: 0.003573
  Epoch 2 | Batch 1700/2503 | Batch Loss: 0.010666
  Epoch 2 | Batch 1800/2503 | Batch Loss: 0.004814
  Epoch 2 | Batch 1900/2503 | Batch Loss: 0.001670
  Epoch 2 | Batch 2000/2503 | Batch Loss: 0.021571
  Epoch 2 | Batch 2100/2503 | Batch Loss: 0.001727
  Epoch 2 | Batch 2200/2503 | Batch Loss: 0.006659
  Epoch 2 | Batch 2300/2503 | Batch Loss: 0.007564
  Epoch 2 | Batch 2400/2503 | Batch Loss: 0.001190
  Epoch 2 | Batch 2500/2503 | Batch Loss: 0.000689

Adam Epoch 2/100 | Time: 237.3s | LR: 1.00e-03
  Train Loss: 0.008159 | Val MSE: 0.002688 *** New Best ***
  Components - Data: 0.0045 | PDE: 0.0013 | Arb: 0.0004
              Term: 0.0010 | Lower: 0.0000 | Upper: 0.0045
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 3 | Batch 100/2503 | Batch Loss: 0.002166
  Epoch 3 | Batch 200/2503 | Batch Loss: 0.005918
  Epoch 3 | Batch 300/2503 | Batch Loss: 0.002606
  Epoch 3 | Batch 400/2503 | Batch Loss: 0.001062
  Epoch 3 | Batch 500/2503 | Batch Loss: 0.001818
  Epoch 3 | Batch 600/2503 | Batch Loss: 0.001372
  Epoch 3 | Batch 700/2503 | Batch Loss: 0.007521
  Epoch 3 | Batch 800/2503 | Batch Loss: 0.011417
  Epoch 3 | Batch 900/2503 | Batch Loss: 0.005649
  Epoch 3 | Batch 1000/2503 | Batch Loss: 0.000805
  Epoch 3 | Batch 1100/2503 | Batch Loss: 0.000593
  Epoch 3 | Batch 1200/2503 | Batch Loss: 0.001371
  Epoch 3 | Batch 1300/2503 | Batch Loss: 0.001200
  Epoch 3 | Batch 1400/2503 | Batch Loss: 0.011566
  Epoch 3 | Batch 1500/2503 | Batch Loss: 0.000697
  Epoch 3 | Batch 1600/2503 | Batch Loss: 0.242262
  Epoch 3 | Batch 1700/2503 | Batch Loss: 0.001087
  Epoch 3 | Batch 1800/2503 | Batch Loss: 0.001082
  Epoch 3 | Batch 1900/2503 | Batch Loss: 0.004046
  Epoch 3 | Batch 2000/2503 | Batch Loss: 0.001838
  Epoch 3 | Batch 2100/2503 | Batch Loss: 0.001244
  Epoch 3 | Batch 2200/2503 | Batch Loss: 0.000621
  Epoch 3 | Batch 2300/2503 | Batch Loss: 0.007886
  Epoch 3 | Batch 2400/2503 | Batch Loss: 0.000670
  Epoch 3 | Batch 2500/2503 | Batch Loss: 0.000676

Adam Epoch 3/100 | Time: 242.6s | LR: 1.00e-03
  Train Loss: 0.008905 | Val MSE: 0.004264
  Components - Data: 0.0055 | PDE: 0.0012 | Arb: 0.0003
              Term: 0.0009 | Lower: 0.0000 | Upper: 0.0044
  Epochs without improvement: 1/3
------------------------------------------------------------
  Epoch 4 | Batch 100/2503 | Batch Loss: 0.000613
  Epoch 4 | Batch 200/2503 | Batch Loss: 0.007297
  Epoch 4 | Batch 300/2503 | Batch Loss: 0.003390
  Epoch 4 | Batch 400/2503 | Batch Loss: 0.000594
  Epoch 4 | Batch 500/2503 | Batch Loss: 0.000884
  Epoch 4 | Batch 600/2503 | Batch Loss: 0.001035
  Epoch 4 | Batch 700/2503 | Batch Loss: 0.000508
  Epoch 4 | Batch 800/2503 | Batch Loss: 0.001199
