Epoch	Train_Loss	Val_Loss
1	0.102629	0.003071
2	0.009278	0.003054
3	0.006177	0.013646
4	0.004438	0.002067
5	0.003544	0.003380
6	0.003370	0.001939
7	0.002853	0.005520
8	0.002982	0.004437
9	0.002438	0.002731
10	0.001042	0.002099
11	0.000830	0.001504
12	0.000749	0.001630
13	0.000666	0.001534
14	0.000611	0.001411
15	0.000564	0.001320
16	0.000535	0.001213
17	0.000499	0.001055
18	0.000475	0.001061
19	0.000453	0.000960
20	0.000427	0.001022
21	0.000412	0.000967
22	0.000391	0.000979

Final Test Loss: 0.002494
