Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 5005, Val batches: 313
Model initialized with u_dim=374, hidden_dim=64, num_layers=4, p_dim=64

============================================================
PHASE 1: Adam Optimizer (DeepONet Parameter Groups)
============================================================
  Epoch 1 | Batch 100/5005 | Batch Loss: 0.302302
  Epoch 1 | Batch 200/5005 | Batch Loss: 0.253671
  Epoch 1 | Batch 300/5005 | Batch Loss: 2.960511
  Epoch 1 | Batch 400/5005 | Batch Loss: 0.016117
  Epoch 1 | Batch 500/5005 | Batch Loss: 0.277954
  Epoch 1 | Batch 600/5005 | Batch Loss: 0.030197
  Epoch 1 | Batch 700/5005 | Batch Loss: 0.032065
  Epoch 1 | Batch 800/5005 | Batch Loss: 0.005333
  Epoch 1 | Batch 900/5005 | Batch Loss: 0.011419
  Epoch 1 | Batch 1000/5005 | Batch Loss: 0.021111
  Epoch 1 | Batch 1100/5005 | Batch Loss: 0.002988
  Epoch 1 | Batch 1200/5005 | Batch Loss: 0.928613
  Epoch 1 | Batch 1300/5005 | Batch Loss: 0.043778
  Epoch 1 | Batch 1400/5005 | Batch Loss: 0.004631
  Epoch 1 | Batch 1500/5005 | Batch Loss: 0.003812
  Epoch 1 | Batch 1600/5005 | Batch Loss: 0.003405
  Epoch 1 | Batch 1700/5005 | Batch Loss: 0.003776
  Epoch 1 | Batch 1800/5005 | Batch Loss: 0.001983
  Epoch 1 | Batch 1900/5005 | Batch Loss: 0.001539
  Epoch 1 | Batch 2000/5005 | Batch Loss: 0.012497
  Epoch 1 | Batch 2100/5005 | Batch Loss: 0.636607
  Epoch 1 | Batch 2200/5005 | Batch Loss: 0.003566
  Epoch 1 | Batch 2300/5005 | Batch Loss: 0.002162
  Epoch 1 | Batch 2400/5005 | Batch Loss: 0.002315
  Epoch 1 | Batch 2500/5005 | Batch Loss: 0.003024
  Epoch 1 | Batch 2600/5005 | Batch Loss: 0.300803
  Epoch 1 | Batch 2700/5005 | Batch Loss: 0.002345
  Epoch 1 | Batch 2800/5005 | Batch Loss: 0.004357
  Epoch 1 | Batch 2900/5005 | Batch Loss: 0.001642
  Epoch 1 | Batch 3000/5005 | Batch Loss: 0.001634
