Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 5005, Val batches: 313
Model initialized with u_dim=374, hidden_dim=64, num_layers=4, p_dim=64

============================================================
PHASE 1: Adam Optimizer (DeepONet Parameter Groups)
============================================================
  Epoch 1 | Batch 100/5005 | Batch Loss: 0.040669
  Epoch 1 | Batch 200/5005 | Batch Loss: 0.057510
  Epoch 1 | Batch 300/5005 | Batch Loss: 3.099799
  Epoch 1 | Batch 400/5005 | Batch Loss: 0.012237
  Epoch 1 | Batch 500/5005 | Batch Loss: 0.159468
  Epoch 1 | Batch 600/5005 | Batch Loss: 0.026748
  Epoch 1 | Batch 700/5005 | Batch Loss: 0.011428
  Epoch 1 | Batch 800/5005 | Batch Loss: 0.005068
  Epoch 1 | Batch 900/5005 | Batch Loss: 0.004787
  Epoch 1 | Batch 1000/5005 | Batch Loss: 0.005475
  Epoch 1 | Batch 1100/5005 | Batch Loss: 0.009649
  Epoch 1 | Batch 1200/5005 | Batch Loss: 1.009655
  Epoch 1 | Batch 1300/5005 | Batch Loss: 0.008836
  Epoch 1 | Batch 1400/5005 | Batch Loss: 0.034578
  Epoch 1 | Batch 1500/5005 | Batch Loss: 0.002889
  Epoch 1 | Batch 1600/5005 | Batch Loss: 0.006351
  Epoch 1 | Batch 1700/5005 | Batch Loss: 0.005606
  Epoch 1 | Batch 1800/5005 | Batch Loss: 0.004398
  Epoch 1 | Batch 1900/5005 | Batch Loss: 0.001938
  Epoch 1 | Batch 2000/5005 | Batch Loss: 0.004049
  Epoch 1 | Batch 2100/5005 | Batch Loss: 0.669412
  Epoch 1 | Batch 2200/5005 | Batch Loss: 0.006347
  Epoch 1 | Batch 2300/5005 | Batch Loss: 0.002556
  Epoch 1 | Batch 2400/5005 | Batch Loss: 0.004962
  Epoch 1 | Batch 2500/5005 | Batch Loss: 0.001386
  Epoch 1 | Batch 2600/5005 | Batch Loss: 0.289445
  Epoch 1 | Batch 2700/5005 | Batch Loss: 0.009116
  Epoch 1 | Batch 2800/5005 | Batch Loss: 0.001864
  Epoch 1 | Batch 2900/5005 | Batch Loss: 0.001658
  Epoch 1 | Batch 3000/5005 | Batch Loss: 0.001636
  Epoch 1 | Batch 3100/5005 | Batch Loss: 0.001885
  Epoch 1 | Batch 3200/5005 | Batch Loss: 0.007747
  Epoch 1 | Batch 3300/5005 | Batch Loss: 0.003054
  Epoch 1 | Batch 3400/5005 | Batch Loss: 0.001305
  Epoch 1 | Batch 3500/5005 | Batch Loss: 0.001091
  Epoch 1 | Batch 3600/5005 | Batch Loss: 0.000863
  Epoch 1 | Batch 3700/5005 | Batch Loss: 0.001704
  Epoch 1 | Batch 3800/5005 | Batch Loss: 0.001099
  Epoch 1 | Batch 3900/5005 | Batch Loss: 0.002996
  Epoch 1 | Batch 4000/5005 | Batch Loss: 0.002943
  Epoch 1 | Batch 4100/5005 | Batch Loss: 0.002360
  Epoch 1 | Batch 4200/5005 | Batch Loss: 0.000979
  Epoch 1 | Batch 4300/5005 | Batch Loss: 0.001816
  Epoch 1 | Batch 4400/5005 | Batch Loss: 0.000712
  Epoch 1 | Batch 4500/5005 | Batch Loss: 0.003024
  Epoch 1 | Batch 4600/5005 | Batch Loss: 0.000931
  Epoch 1 | Batch 4700/5005 | Batch Loss: 0.003005
  Epoch 1 | Batch 4800/5005 | Batch Loss: 0.010323
  Epoch 1 | Batch 4900/5005 | Batch Loss: 0.002154
  Epoch 1 | Batch 5000/5005 | Batch Loss: 0.001209

Adam Epoch 1/100 | Time: 657.8s | Base LR: 1.00e-03
  Train Loss: 0.106592 | Val MSE: 0.010139 *** New Best ***
  Components - Data: 0.0878 | PDE: 0.0013 | Arb: 0.0015
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 2 | Batch 100/5005 | Batch Loss: 0.001248
  Epoch 2 | Batch 200/5005 | Batch Loss: 0.013072
