Epoch	Train_Loss	Val_Loss
1	0.148928	0.010907
2	0.010782	0.011300
3	0.008650	0.003260
4	0.006814	0.001457
5	0.004787	0.005362
6	0.004492	0.020977
7	0.003737	0.001877
8	0.001236	0.001673
9	0.000986	0.001811
10	0.000861	0.001492
11	0.000786	0.001777
12	0.000712	0.001154
13	0.000668	0.001548
14	0.000640	0.001129
15	0.000596	0.001024
16	0.000557	0.000926
17	0.000536	0.001047
18	0.000514	0.000917
19	0.000497	0.000824
20	0.000475	0.000909
21	0.000456	0.000772
22	0.000444	0.000969
23	0.000429	0.000749
24	0.000418	0.000840
25	0.000402	0.001195
26	0.000391	0.000574
27	0.000382	0.000590
28	0.000376	0.000721
29	0.000368	0.000675

Final Test Loss: 0.001578
