Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 2503, Val batches: 157
Model initialized with u_dim=374, hidden_dim=64, num_layers=4, p_dim=64

============================================================
PHASE 1: Adam Optimizer (DeepONet Parameter Groups)
============================================================
  Epoch 1 | Batch 100/2503 | Batch Loss: 0.053769
  Epoch 1 | Batch 200/2503 | Batch Loss: 0.055707
  Epoch 1 | Batch 300/2503 | Batch Loss: 0.025632
  Epoch 1 | Batch 400/2503 | Batch Loss: 0.021083
  Epoch 1 | Batch 500/2503 | Batch Loss: 0.009865
  Epoch 1 | Batch 600/2503 | Batch Loss: 0.801915
  Epoch 1 | Batch 700/2503 | Batch Loss: 0.055372
  Epoch 1 | Batch 800/2503 | Batch Loss: 0.019268
  Epoch 1 | Batch 900/2503 | Batch Loss: 0.007247
  Epoch 1 | Batch 1000/2503 | Batch Loss: 0.569218
  Epoch 1 | Batch 1100/2503 | Batch Loss: 0.011770
  Epoch 1 | Batch 1200/2503 | Batch Loss: 0.007648
  Epoch 1 | Batch 1300/2503 | Batch Loss: 0.305611
  Epoch 1 | Batch 1400/2503 | Batch Loss: 0.347665
  Epoch 1 | Batch 1500/2503 | Batch Loss: 0.498975
  Epoch 1 | Batch 1600/2503 | Batch Loss: 0.006412
  Epoch 1 | Batch 1700/2503 | Batch Loss: 0.010624
  Epoch 1 | Batch 1800/2503 | Batch Loss: 0.001771
  Epoch 1 | Batch 1900/2503 | Batch Loss: 0.003813
  Epoch 1 | Batch 2000/2503 | Batch Loss: 0.003336
  Epoch 1 | Batch 2100/2503 | Batch Loss: 0.037360
  Epoch 1 | Batch 2200/2503 | Batch Loss: 0.002106
  Epoch 1 | Batch 2300/2503 | Batch Loss: 0.001489
  Epoch 1 | Batch 2400/2503 | Batch Loss: 0.063921
  Epoch 1 | Batch 2500/2503 | Batch Loss: 0.001206

Adam Epoch 1/100 | Time: 254.0s | Base LR: 1.00e-03
  Train Loss: 0.148928 | Val MSE: 0.010907 *** New Best ***
  Components - Data: 0.1230 | PDE: 0.0026 | Arb: 0.0051
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 2 | Batch 100/2503 | Batch Loss: 0.011483
  Epoch 2 | Batch 200/2503 | Batch Loss: 0.001136
  Epoch 2 | Batch 300/2503 | Batch Loss: 0.003603
  Epoch 2 | Batch 400/2503 | Batch Loss: 0.012278
  Epoch 2 | Batch 500/2503 | Batch Loss: 0.001477
  Epoch 2 | Batch 600/2503 | Batch Loss: 0.013834
  Epoch 2 | Batch 700/2503 | Batch Loss: 0.005627
  Epoch 2 | Batch 800/2503 | Batch Loss: 0.011435
  Epoch 2 | Batch 900/2503 | Batch Loss: 0.002899
  Epoch 2 | Batch 1000/2503 | Batch Loss: 0.002183
  Epoch 2 | Batch 1100/2503 | Batch Loss: 0.001291
  Epoch 2 | Batch 1200/2503 | Batch Loss: 0.001618
  Epoch 2 | Batch 1300/2503 | Batch Loss: 0.001038
  Epoch 2 | Batch 1400/2503 | Batch Loss: 0.001622
  Epoch 2 | Batch 1500/2503 | Batch Loss: 0.002845
  Epoch 2 | Batch 1600/2503 | Batch Loss: 0.017207
  Epoch 2 | Batch 1700/2503 | Batch Loss: 0.001200
  Epoch 2 | Batch 1800/2503 | Batch Loss: 0.021233
  Epoch 2 | Batch 1900/2503 | Batch Loss: 0.001118
  Epoch 2 | Batch 2000/2503 | Batch Loss: 0.000927
  Epoch 2 | Batch 2100/2503 | Batch Loss: 0.022385
  Epoch 2 | Batch 2200/2503 | Batch Loss: 0.000860
  Epoch 2 | Batch 2300/2503 | Batch Loss: 0.004250
  Epoch 2 | Batch 2400/2503 | Batch Loss: 0.010883
  Epoch 2 | Batch 2500/2503 | Batch Loss: 0.001200

Adam Epoch 2/100 | Time: 251.1s | Base LR: 1.00e-03
  Train Loss: 0.010782 | Val MSE: 0.011300
  Components - Data: 0.0067 | PDE: 0.0010 | Arb: 0.0004
  Epochs without improvement: 1/3
------------------------------------------------------------
  Epoch 3 | Batch 100/2503 | Batch Loss: 0.001222
