Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 2503, Val batches: 157
Model initialized with u_dim=374, hidden_dim=64, num_layers=4, p_dim=64

============================================================
PHASE 1: Adam Optimizer (DeepONet Parameter Groups)
============================================================
  Epoch 1 | Batch 100/2503 | Batch Loss: 0.056152
  Epoch 1 | Batch 200/2503 | Batch Loss: 0.013178
  Epoch 1 | Batch 300/2503 | Batch Loss: 0.096423
  Epoch 1 | Batch 400/2503 | Batch Loss: 0.019904
  Epoch 1 | Batch 500/2503 | Batch Loss: 0.011809
  Epoch 1 | Batch 600/2503 | Batch Loss: 0.023605
  Epoch 1 | Batch 700/2503 | Batch Loss: 0.021588
  Epoch 1 | Batch 800/2503 | Batch Loss: 0.016398
  Epoch 1 | Batch 900/2503 | Batch Loss: 0.016807
  Epoch 1 | Batch 1000/2503 | Batch Loss: 0.021540
  Epoch 1 | Batch 1100/2503 | Batch Loss: 0.032313
  Epoch 1 | Batch 1200/2503 | Batch Loss: 0.035872
  Epoch 1 | Batch 1300/2503 | Batch Loss: 0.002584
  Epoch 1 | Batch 1400/2503 | Batch Loss: 0.008998
  Epoch 1 | Batch 1500/2503 | Batch Loss: 0.190268
  Epoch 1 | Batch 1600/2503 | Batch Loss: 0.002701
  Epoch 1 | Batch 1700/2503 | Batch Loss: 0.005624
  Epoch 1 | Batch 1800/2503 | Batch Loss: 0.009647
  Epoch 1 | Batch 1900/2503 | Batch Loss: 0.066444
  Epoch 1 | Batch 2000/2503 | Batch Loss: 0.005329
  Epoch 1 | Batch 2100/2503 | Batch Loss: 0.005838
  Epoch 1 | Batch 2200/2503 | Batch Loss: 0.005802
  Epoch 1 | Batch 2300/2503 | Batch Loss: 0.012325
  Epoch 1 | Batch 2400/2503 | Batch Loss: 0.002130
  Epoch 1 | Batch 2500/2503 | Batch Loss: 0.002569

Adam Epoch 1/100 | Time: 261.6s | Base LR: 1.00e-03
  Train Loss: 0.108191 | Val MSE: 0.006364 *** New Best ***
  Components - Data: 0.0915 | PDE: 0.0044 | Arb: 0.0015
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 2 | Batch 100/2503 | Batch Loss: 0.001622
  Epoch 2 | Batch 200/2503 | Batch Loss: 0.002203
  Epoch 2 | Batch 300/2503 | Batch Loss: 0.082889
  Epoch 2 | Batch 400/2503 | Batch Loss: 0.001686
  Epoch 2 | Batch 500/2503 | Batch Loss: 0.086733
  Epoch 2 | Batch 600/2503 | Batch Loss: 0.035632
  Epoch 2 | Batch 700/2503 | Batch Loss: 0.001872
  Epoch 2 | Batch 800/2503 | Batch Loss: 0.005675
  Epoch 2 | Batch 900/2503 | Batch Loss: 0.004095
  Epoch 2 | Batch 1000/2503 | Batch Loss: 0.001001
  Epoch 2 | Batch 1100/2503 | Batch Loss: 0.001430
  Epoch 2 | Batch 1200/2503 | Batch Loss: 0.002705
  Epoch 2 | Batch 1300/2503 | Batch Loss: 0.001394
  Epoch 2 | Batch 1400/2503 | Batch Loss: 0.019108
  Epoch 2 | Batch 1500/2503 | Batch Loss: 0.004129
  Epoch 2 | Batch 1600/2503 | Batch Loss: 0.014311
  Epoch 2 | Batch 1700/2503 | Batch Loss: 0.002650
  Epoch 2 | Batch 1800/2503 | Batch Loss: 0.002972
  Epoch 2 | Batch 1900/2503 | Batch Loss: 0.001377
  Epoch 2 | Batch 2000/2503 | Batch Loss: 0.043868
  Epoch 2 | Batch 2100/2503 | Batch Loss: 0.005156
  Epoch 2 | Batch 2200/2503 | Batch Loss: 0.007234
  Epoch 2 | Batch 2300/2503 | Batch Loss: 0.010787
  Epoch 2 | Batch 2400/2503 | Batch Loss: 0.012635
  Epoch 2 | Batch 2500/2503 | Batch Loss: 0.000986

Adam Epoch 2/100 | Time: 251.6s | Base LR: 1.00e-03
  Train Loss: 0.013206 | Val MSE: 0.004230 *** New Best ***
  Components - Data: 0.0094 | PDE: 0.0014 | Arb: 0.0004
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 3 | Batch 100/2503 | Batch Loss: 0.003365
  Epoch 3 | Batch 200/2503 | Batch Loss: 0.000930
  Epoch 3 | Batch 300/2503 | Batch Loss: 0.001836
  Epoch 3 | Batch 400/2503 | Batch Loss: 0.003466
  Epoch 3 | Batch 500/2503 | Batch Loss: 0.005261
  Epoch 3 | Batch 600/2503 | Batch Loss: 0.005080
  Epoch 3 | Batch 700/2503 | Batch Loss: 0.000695
  Epoch 3 | Batch 800/2503 | Batch Loss: 0.001207
  Epoch 3 | Batch 900/2503 | Batch Loss: 0.000863
  Epoch 3 | Batch 1000/2503 | Batch Loss: 0.002777
  Epoch 3 | Batch 1100/2503 | Batch Loss: 0.003832
  Epoch 3 | Batch 1200/2503 | Batch Loss: 0.000464
  Epoch 3 | Batch 1300/2503 | Batch Loss: 0.001499
  Epoch 3 | Batch 1400/2503 | Batch Loss: 0.000704
  Epoch 3 | Batch 1500/2503 | Batch Loss: 0.000479
  Epoch 3 | Batch 1600/2503 | Batch Loss: 0.000446
  Epoch 3 | Batch 1700/2503 | Batch Loss: 0.000865
  Epoch 3 | Batch 1800/2503 | Batch Loss: 0.000667
  Epoch 3 | Batch 1900/2503 | Batch Loss: 0.012758
  Epoch 3 | Batch 2000/2503 | Batch Loss: 0.000460
  Epoch 3 | Batch 2100/2503 | Batch Loss: 0.000521
  Epoch 3 | Batch 2200/2503 | Batch Loss: 0.013658
  Epoch 3 | Batch 2300/2503 | Batch Loss: 0.235249
  Epoch 3 | Batch 2400/2503 | Batch Loss: 0.006212
  Epoch 3 | Batch 2500/2503 | Batch Loss: 0.003675

Adam Epoch 3/100 | Time: 249.8s | Base LR: 1.00e-03
  Train Loss: 0.010756 | Val MSE: 0.006987
  Components - Data: 0.0083 | PDE: 0.0011 | Arb: 0.0003
  Epochs without improvement: 1/3
------------------------------------------------------------
  Epoch 4 | Batch 100/2503 | Batch Loss: 0.000363
  Epoch 4 | Batch 200/2503 | Batch Loss: 0.002983
  Epoch 4 | Batch 300/2503 | Batch Loss: 0.001186
  Epoch 4 | Batch 400/2503 | Batch Loss: 0.000320
  Epoch 4 | Batch 500/2503 | Batch Loss: 0.006770
  Epoch 4 | Batch 600/2503 | Batch Loss: 0.000543
  Epoch 4 | Batch 700/2503 | Batch Loss: 0.002218
  Epoch 4 | Batch 800/2503 | Batch Loss: 0.002135
  Epoch 4 | Batch 900/2503 | Batch Loss: 0.006940
  Epoch 4 | Batch 1000/2503 | Batch Loss: 0.000885
  Epoch 4 | Batch 1100/2503 | Batch Loss: 0.000255
  Epoch 4 | Batch 1200/2503 | Batch Loss: 0.000508
  Epoch 4 | Batch 1300/2503 | Batch Loss: 0.001078
  Epoch 4 | Batch 1400/2503 | Batch Loss: 0.000920
  Epoch 4 | Batch 1500/2503 | Batch Loss: 0.006071
  Epoch 4 | Batch 1600/2503 | Batch Loss: 0.000599
  Epoch 4 | Batch 1700/2503 | Batch Loss: 0.001193
  Epoch 4 | Batch 1800/2503 | Batch Loss: 0.001109
  Epoch 4 | Batch 1900/2503 | Batch Loss: 0.001582
  Epoch 4 | Batch 2000/2503 | Batch Loss: 0.001562
  Epoch 4 | Batch 2100/2503 | Batch Loss: 0.004288
  Epoch 4 | Batch 2200/2503 | Batch Loss: 0.016714
  Epoch 4 | Batch 2300/2503 | Batch Loss: 0.001743
  Epoch 4 | Batch 2400/2503 | Batch Loss: 0.000448
  Epoch 4 | Batch 2500/2503 | Batch Loss: 0.003114

Adam Epoch 4/100 | Time: 249.7s | Base LR: 1.00e-03
  Train Loss: 0.006644 | Val MSE: 0.002510 *** New Best ***
  Components - Data: 0.0049 | PDE: 0.0008 | Arb: 0.0002
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 5 | Batch 100/2503 | Batch Loss: 0.002270
  Epoch 5 | Batch 200/2503 | Batch Loss: 0.000395
  Epoch 5 | Batch 300/2503 | Batch Loss: 0.000551
  Epoch 5 | Batch 400/2503 | Batch Loss: 0.001324
  Epoch 5 | Batch 500/2503 | Batch Loss: 0.002300
  Epoch 5 | Batch 600/2503 | Batch Loss: 0.001858
  Epoch 5 | Batch 700/2503 | Batch Loss: 0.000563
  Epoch 5 | Batch 800/2503 | Batch Loss: 0.005912
  Epoch 5 | Batch 900/2503 | Batch Loss: 0.000234
  Epoch 5 | Batch 1000/2503 | Batch Loss: 0.000681
  Epoch 5 | Batch 1100/2503 | Batch Loss: 0.001708
  Epoch 5 | Batch 1200/2503 | Batch Loss: 0.011927
  Epoch 5 | Batch 1300/2503 | Batch Loss: 0.000225
  Epoch 5 | Batch 1400/2503 | Batch Loss: 0.000415
  Epoch 5 | Batch 1500/2503 | Batch Loss: 0.000400
  Epoch 5 | Batch 1600/2503 | Batch Loss: 0.024009
  Epoch 5 | Batch 1700/2503 | Batch Loss: 0.002489
  Epoch 5 | Batch 1800/2503 | Batch Loss: 0.000576
  Epoch 5 | Batch 1900/2503 | Batch Loss: 0.001857
  Epoch 5 | Batch 2000/2503 | Batch Loss: 0.000214
  Epoch 5 | Batch 2100/2503 | Batch Loss: 0.000446
  Epoch 5 | Batch 2200/2503 | Batch Loss: 0.010922
  Epoch 5 | Batch 2300/2503 | Batch Loss: 0.000231
  Epoch 5 | Batch 2400/2503 | Batch Loss: 0.000738
  Epoch 5 | Batch 2500/2503 | Batch Loss: 0.001096

Adam Epoch 5/100 | Time: 246.1s | Base LR: 1.00e-03
  Train Loss: 0.004889 | Val MSE: 0.001918 *** New Best ***
  Components - Data: 0.0038 | PDE: 0.0007 | Arb: 0.0002
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 6 | Batch 100/2503 | Batch Loss: 0.000583
  Epoch 6 | Batch 200/2503 | Batch Loss: 0.000855
  Epoch 6 | Batch 300/2503 | Batch Loss: 0.000698
  Epoch 6 | Batch 400/2503 | Batch Loss: 0.000490
