Epoch	Train_Loss	Val_Loss
1	0.142558	0.012599
2	0.013815	0.003246
3	0.010505	0.006118
4	0.006306	0.002091
5	0.005967	0.002941
6	0.004173	0.002110
7	0.003636	0.001995
8	0.003178	0.003289
9	0.003468	0.003209
10	0.002578	0.009718
11	0.001206	0.002233
12	0.000808	0.001705
13	0.000698	0.001538
14	0.000639	0.001485
15	0.000582	0.001292
16	0.000543	0.001149
17	0.000507	0.000956
18	0.000476	0.001321
19	0.000453	0.001142
20	0.000429	0.000777
21	0.000416	0.000816
22	0.000392	0.000854
23	0.000374	0.000714
24	0.000362	0.000584
25	0.000349	0.000619
26	0.000335	0.000547
27	0.000323	0.000628
28	0.000314	0.000432
29	0.000307	0.000751
30	0.000297	0.000417
31	0.000291	0.000545
32	0.000285	0.000524
33	0.000281	0.000406
34	0.000272	0.000372
35	0.000272	0.000389
36	0.000264	0.000338
37	0.000263	0.000288
38	0.000255	0.000266
39	0.000250	0.000410
40	0.000252	0.000265
41	0.000246	0.000243
42	0.000246	0.000229
43	0.000243	0.000354
44	0.000240	0.000315
45	0.000236	0.000485

Final Test Loss: 0.000686
