Device: cuda
Loading datasets...
Loaded train: 640582 samples
Loaded val: 80073 samples
Loaded test: 80073 samples
Train samples: 640582, Val samples: 80073, Test samples: 80073
Train batches: 2503, Val batches: 157
FNO-DeepONet Model initialized with hidden_dim=64, num_layers=4, p_dim=64

============================================================
PHASE 1: Adam Optimizer (FNO Parameter Groups)
============================================================
  Epoch 1 | Batch 100/2503 | Batch Loss: 0.025551
  Epoch 1 | Batch 200/2503 | Batch Loss: 0.021531
  Epoch 1 | Batch 300/2503 | Batch Loss: 0.009308
  Epoch 1 | Batch 400/2503 | Batch Loss: 0.030433
  Epoch 1 | Batch 500/2503 | Batch Loss: 0.006116
  Epoch 1 | Batch 600/2503 | Batch Loss: 0.015242
  Epoch 1 | Batch 700/2503 | Batch Loss: 0.689727
  Epoch 1 | Batch 800/2503 | Batch Loss: 0.008384
  Epoch 1 | Batch 900/2503 | Batch Loss: 0.062732
  Epoch 1 | Batch 1000/2503 | Batch Loss: 0.009766
  Epoch 1 | Batch 1100/2503 | Batch Loss: 0.002666
  Epoch 1 | Batch 1200/2503 | Batch Loss: 0.007517
  Epoch 1 | Batch 1300/2503 | Batch Loss: 0.018920
  Epoch 1 | Batch 1400/2503 | Batch Loss: 0.025406
  Epoch 1 | Batch 1500/2503 | Batch Loss: 0.004433
  Epoch 1 | Batch 1600/2503 | Batch Loss: 0.028432
  Epoch 1 | Batch 1700/2503 | Batch Loss: 0.008084
  Epoch 1 | Batch 1800/2503 | Batch Loss: 0.014538
  Epoch 1 | Batch 1900/2503 | Batch Loss: 0.136239
  Epoch 1 | Batch 2000/2503 | Batch Loss: 0.010797
  Epoch 1 | Batch 2100/2503 | Batch Loss: 0.016833
  Epoch 1 | Batch 2200/2503 | Batch Loss: 0.094826
  Epoch 1 | Batch 2300/2503 | Batch Loss: 0.002903
  Epoch 1 | Batch 2400/2503 | Batch Loss: 0.004202
  Epoch 1 | Batch 2500/2503 | Batch Loss: 0.020437

Adam Epoch 1/100 | Time: 342.2s | Base LR: 1.00e-03
  Train Loss: 0.142558 | Val MSE: 0.012599 *** New Best ***
  Components - Data: 0.1170 | PDE: 0.0076 | Arb: 0.0019
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 2 | Batch 100/2503 | Batch Loss: 0.022477
  Epoch 2 | Batch 200/2503 | Batch Loss: 0.055263
  Epoch 2 | Batch 300/2503 | Batch Loss: 0.004662
  Epoch 2 | Batch 400/2503 | Batch Loss: 0.005615
  Epoch 2 | Batch 500/2503 | Batch Loss: 0.049806
  Epoch 2 | Batch 600/2503 | Batch Loss: 0.025138
  Epoch 2 | Batch 700/2503 | Batch Loss: 0.002006
  Epoch 2 | Batch 800/2503 | Batch Loss: 0.004318
  Epoch 2 | Batch 900/2503 | Batch Loss: 0.001561
  Epoch 2 | Batch 1000/2503 | Batch Loss: 0.000981
  Epoch 2 | Batch 1100/2503 | Batch Loss: 0.009845
  Epoch 2 | Batch 1200/2503 | Batch Loss: 0.000909
  Epoch 2 | Batch 1300/2503 | Batch Loss: 0.002440
  Epoch 2 | Batch 1400/2503 | Batch Loss: 0.002815
  Epoch 2 | Batch 1500/2503 | Batch Loss: 0.001104
  Epoch 2 | Batch 1600/2503 | Batch Loss: 0.001039
  Epoch 2 | Batch 1700/2503 | Batch Loss: 0.003182
  Epoch 2 | Batch 1800/2503 | Batch Loss: 0.000748
  Epoch 2 | Batch 1900/2503 | Batch Loss: 0.000952
  Epoch 2 | Batch 2000/2503 | Batch Loss: 0.003013
  Epoch 2 | Batch 2100/2503 | Batch Loss: 0.000715
  Epoch 2 | Batch 2200/2503 | Batch Loss: 0.000748
  Epoch 2 | Batch 2300/2503 | Batch Loss: 0.000953
  Epoch 2 | Batch 2400/2503 | Batch Loss: 0.000524
  Epoch 2 | Batch 2500/2503 | Batch Loss: 0.009564

Adam Epoch 2/100 | Time: 386.9s | Base LR: 1.00e-03
  Train Loss: 0.013815 | Val MSE: 0.003246 *** New Best ***
  Components - Data: 0.0081 | PDE: 0.0014 | Arb: 0.0005
  Epochs without improvement: 0/3
------------------------------------------------------------
  Epoch 3 | Batch 100/2503 | Batch Loss: 0.000587
  Epoch 3 | Batch 200/2503 | Batch Loss: 0.025801
  Epoch 3 | Batch 300/2503 | Batch Loss: 0.001931
  Epoch 3 | Batch 400/2503 | Batch Loss: 0.000829
  Epoch 3 | Batch 500/2503 | Batch Loss: 0.001565
  Epoch 3 | Batch 600/2503 | Batch Loss: 0.052997
  Epoch 3 | Batch 700/2503 | Batch Loss: 0.025615
  Epoch 3 | Batch 800/2503 | Batch Loss: 0.030976
  Epoch 3 | Batch 900/2503 | Batch Loss: 0.002391
  Epoch 3 | Batch 1000/2503 | Batch Loss: 0.058567
  Epoch 3 | Batch 1100/2503 | Batch Loss: 0.009452
  Epoch 3 | Batch 1200/2503 | Batch Loss: 0.004191
  Epoch 3 | Batch 1300/2503 | Batch Loss: 0.001031
  Epoch 3 | Batch 1400/2503 | Batch Loss: 0.000764
  Epoch 3 | Batch 1500/2503 | Batch Loss: 0.001850
  Epoch 3 | Batch 1600/2503 | Batch Loss: 0.007563
  Epoch 3 | Batch 1700/2503 | Batch Loss: 0.006101
  Epoch 3 | Batch 1800/2503 | Batch Loss: 0.005715
  Epoch 3 | Batch 1900/2503 | Batch Loss: 0.000501
  Epoch 3 | Batch 2000/2503 | Batch Loss: 0.001690
  Epoch 3 | Batch 2100/2503 | Batch Loss: 0.000878
  Epoch 3 | Batch 2200/2503 | Batch Loss: 0.000437
  Epoch 3 | Batch 2300/2503 | Batch Loss: 0.005399
  Epoch 3 | Batch 2400/2503 | Batch Loss: 0.000746
  Epoch 3 | Batch 2500/2503 | Batch Loss: 0.001177

Adam Epoch 3/100 | Time: 342.0s | Base LR: 1.00e-03
  Train Loss: 0.010505 | Val MSE: 0.006118
