arch,branch_key,canonical_dataset,clamp_hit_count,dataset_version,h5_path,h5_sha256,is_canonical_version,liquidity_strata,liquidity_strata_note,mae_price,max_contracts,metrics_path,mse_log,mse_log_filtered,n_keep_filtered,n_near_expiry_dropped,n_tail_sqerr_gt10,n_test,option_type,r2_log_filtered,r2_log_full,r2_price,results_dir,rmse_log,rmse_price,schema_version,seed,stable_log,tail_sse_share,throughput_contracts_per_s
A,branch_u,True,0,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_call_v5.h5,ecf94de2996e3212ac791f944f847142e7a809c640b24cbd5989e8bdba801153,True,"{'bid_pos': {'n_test': 814015, 'r2_price': 0.999976920335166, 'r2_log_filtered': 0.9916953670071412, 'r2_log_full': 0.9916953670071412, 'rmse_log': 0.20822822707439984, 'rmse_price': 0.002174809396334461, 'mae_price': 0.0006449380261019584}, 'relspread_le1': {'n_test': 799803, 'r2_price': 0.9999790138458875, 'r2_log_filtered': 0.9917948344479305, 'r2_log_full': 0.9917948344479305, 'rmse_log': 0.19700854048469893, 'rmse_price': 0.002092036560631299, 'mae_price': 0.000654865722410297}, 'bid_pos_and_relspread_le1': {'n_test': 799803, 'r2_price': 0.9999790138458875, 'r2_log_filtered': 0.9917948344479305, 'r2_log_full': 0.9917948344479305, 'rmse_log': 0.19700854048469893, 'rmse_price': 0.002092036560631299, 'mae_price': 0.000654865722410297}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0006407989714068488,,train_model_v3\call\results_vol_surface_v5\metrics.json,0.049237060150276145,0.049237060150276145,819342,0,50,819342,call,0.9910440400919907,0.9910440400919907,0.9999769213678237,train_model_v3\call\results_vol_surface_v5,0.22189425443277289,0.0021677283734044613,v4,42,False,0.015548951862642978,80937.72122955303
B,branch_u,True,0,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_call_v5.h5,ecf94de2996e3212ac791f944f847142e7a809c640b24cbd5989e8bdba801153,True,"{'bid_pos': {'n_test': 814015, 'r2_price': 0.9999137992907972, 'r2_log_filtered': 0.9902939160916544, 'r2_log_full': 0.9902939160916544, 'rmse_log': 0.22511342722945912, 'rmse_price': 0.004203024014028819, 'mae_price': 0.0007436834647718976}, 'relspread_le1': {'n_test': 799803, 'r2_price': 0.9999156063110887, 'r2_log_filtered': 0.9906454678949078, 'r2_log_full': 0.9906454678949078, 'rmse_log': 0.21035479420722217, 'rmse_price': 0.004195249810554459, 'mae_price': 0.0007554963868668631}, 'bid_pos_and_relspread_le1': {'n_test': 799803, 'r2_price': 0.9999156063110887, 'r2_log_filtered': 0.9906454678949078, 'r2_log_full': 0.9906454678949078, 'rmse_log': 0.21035479420722217, 'rmse_price': 0.004195249810554459, 'mae_price': 0.0007554963868668631}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0007388780879945163,,train_model_v3\call\results_vol_surface_don_v5\metrics.json,0.05338008730044403,0.05338008730044403,819342,0,460,819342,call,0.9902904454431337,0.9902904454431337,0.9999138031718999,train_model_v3\call\results_vol_surface_don_v5,0.2310413108092231,0.0041893386819170765,v4,42,False,0.17376231148797716,81998.9967994194
A,spot_history,True,2,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_call_v5.h5,ecf94de2996e3212ac791f944f847142e7a809c640b24cbd5989e8bdba801153,True,"{'bid_pos': {'n_test': 814015, 'r2_price': 0.9998118322815325, 'r2_log_filtered': 0.9218286374615279, 'r2_log_full': 0.9218286374615279, 'rmse_log': 0.6388563562412278, 'rmse_price': 0.006209819995826305, 'mae_price': 0.0035919987126519985}, 'relspread_le1': {'n_test': 799803, 'r2_price': 0.9998141764149499, 'r2_log_filtered': 0.9174058648990211, 'r2_log_full': 0.9174058648990211, 'rmse_log': 0.6250517629639948, 'rmse_price': 0.006225199278105383, 'mae_price': 0.003653594627012767}, 'bid_pos_and_relspread_le1': {'n_test': 799803, 'r2_price': 0.9998141764149499, 'r2_log_filtered': 0.9174058648990211, 'r2_log_full': 0.9174058648990211, 'rmse_log': 0.6250517629639948, 'rmse_price': 0.006225199278105383, 'mae_price': 0.003653594627012767}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.003569309829194007,,train_model_v3\call\results_spot_history_v5\metrics.json,0.4287118944792034,0.4287118944792034,819342,0,1789,819342,call,0.9220195818490409,0.9220195818490409,0.999811806325173,train_model_v3\call\results_spot_history_v5,0.6547609445280036,0.006190166644466521,v4,42,False,0.08067269277521054,155073.36778111168
B,spot_history,True,3,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_call_v5.h5,ecf94de2996e3212ac791f944f847142e7a809c640b24cbd5989e8bdba801153,True,"{'bid_pos': {'n_test': 814015, 'r2_price': 0.9991813208170983, 'r2_log_filtered': 0.9424601484758637, 'r2_log_full': 0.9424601484758637, 'rmse_log': 0.5481049795316085, 'rmse_price': 0.012952790033588606, 'mae_price': 0.0027868907417101752}, 'relspread_le1': {'n_test': 799803, 'r2_price': 0.9991833585298721, 'r2_log_filtered': 0.9388680569776169, 'r2_log_full': 0.9388680569776169, 'rmse_log': 0.537743883676986, 'rmse_price': 0.013050241731058216, 'mae_price': 0.002834464555121932}, 'bid_pos_and_relspread_le1': {'n_test': 799803, 'r2_price': 0.9991833585298721, 'r2_log_filtered': 0.9388680569776169, 'r2_log_full': 0.9388680569776169, 'rmse_log': 0.537743883676986, 'rmse_price': 0.013050241731058216, 'mae_price': 0.002834464555121932}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.00276885807533094,,train_model_v3\call\results_spot_history_don_v5\metrics.json,0.3057241532591825,0.3057241532591825,819342,0,602,819342,call,0.9443903992004695,0.9443903992004695,0.9991813576431201,train_model_v3\call\results_spot_history_don_v5,0.5529232797225873,0.012910615137838508,v4,42,False,0.030776758043251393,134234.3654582055
A,vix_history,True,0,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_call_v5.h5,ecf94de2996e3212ac791f944f847142e7a809c640b24cbd5989e8bdba801153,True,"{'bid_pos': {'n_test': 814015, 'r2_price': 0.9998482455191596, 'r2_log_filtered': 0.9192476514880387, 'r2_log_full': 0.9192476514880387, 'rmse_log': 0.6493172790259304, 'rmse_price': 0.005576699119271826, 'mae_price': 0.003134485032527772}, 'relspread_le1': {'n_test': 799803, 'r2_price': 0.9998505405884643, 'r2_log_filtered': 0.9135390135186099, 'r2_log_full': 0.9135390135186099, 'rmse_log': 0.6395160857167526, 'rmse_price': 0.005582959470854872, 'mae_price': 0.0031879650759524623}, 'bid_pos_and_relspread_le1': {'n_test': 799803, 'r2_price': 0.9998505405884643, 'r2_log_filtered': 0.9135390135186099, 'r2_log_full': 0.9135390135186099, 'rmse_log': 0.6395160857167526, 'rmse_price': 0.005582959470854872, 'mae_price': 0.0031879650759524623}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0031143493422382384,,train_model_v3\call\results_vix_history_v5\metrics.json,0.43248884215921973,0.43248884215921973,819342,0,1861,819342,call,0.921332575112781,0.921332575112781,0.9998482515681267,train_model_v3\call\results_vix_history_v5,0.6576388386943245,0.005558555359799912,v4,42,False,0.07577074730664227,170870.19715869462
B,vix_history,True,0,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_call_v5.h5,ecf94de2996e3212ac791f944f847142e7a809c640b24cbd5989e8bdba801153,True,"{'bid_pos': {'n_test': 814015, 'r2_price': 0.9981253355276487, 'r2_log_filtered': 0.9387736317803997, 'r2_log_full': 0.9387736317803997, 'rmse_log': 0.5653906585165568, 'rmse_price': 0.019600548571449505, 'mae_price': 0.0030039839985217314}, 'relspread_le1': {'n_test': 799803, 'r2_price': 0.9981271839828307, 'r2_log_filtered': 0.9347484044641138, 'r2_log_full': 0.9347484044641138, 'rmse_log': 0.5555676473854251, 'rmse_price': 0.01976288750891238, 'mae_price': 0.003055356369681045}, 'bid_pos_and_relspread_le1': {'n_test': 799803, 'r2_price': 0.9981271839828307, 'r2_log_filtered': 0.9347484044641138, 'r2_log_full': 0.9347484044641138, 'rmse_log': 0.5555676473854251, 'rmse_price': 0.01976288750891238, 'mae_price': 0.003055356369681045}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.002984663655104316,,train_model_v3\call\results_vix_history_don_v5\metrics.json,0.3305562796569883,0.3305562796569883,819342,0,1030,819342,call,0.9398735672090671,0.9398735672090671,0.9981254195370237,train_model_v3\call\results_vix_history_don_v5,0.5749402400745562,0.0195367299131755,v4,42,False,0.05219600108392809,169884.10534173748
A,branch_u,True,0,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_put_v5.h5,46f3ee9d03d3423c6330c2b35a4d09893b0f538bdc046bc1018ebab79861c756,True,"{'bid_pos': {'n_test': 1374766, 'r2_price': 0.9925435650833625, 'r2_log_filtered': 0.9778924437663712, 'r2_log_full': 0.9778924437663712, 'rmse_log': 0.28971583469961665, 'rmse_price': 0.0019273310492601504, 'mae_price': 0.0008261314910185181}, 'relspread_le1': {'n_test': 1364208, 'r2_price': 0.9926481379831832, 'r2_log_filtered': 0.9774760127817498, 'r2_log_full': 0.9774760127817498, 'rmse_log': 0.28685894555870595, 'rmse_price': 0.0019182827440220461, 'mae_price': 0.0008318052769992275}, 'bid_pos_and_relspread_le1': {'n_test': 1364208, 'r2_price': 0.9926481379831832, 'r2_log_filtered': 0.9774760127817498, 'r2_log_full': 0.9774760127817498, 'rmse_log': 0.28685894555870595, 'rmse_price': 0.0019182827440220461, 'mae_price': 0.0008318052769992275}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0008229161508829408,,train_model_v3\put\results_vol_surface_v5\metrics.json,0.0865160589496422,0.0865160589496422,1380379,0,144,1380379,put,0.9778980973298367,0.9778980973298367,0.9925532371315967,train_model_v3\put\results_vol_surface_v5,0.29413612316348053,0.0019235276617990836,v4,42,False,0.018772101453819058,82237.44787927398
B,branch_u,True,0,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_put_v5.h5,46f3ee9d03d3423c6330c2b35a4d09893b0f538bdc046bc1018ebab79861c756,True,"{'bid_pos': {'n_test': 1374766, 'r2_price': 0.9937718470976, 'r2_log_filtered': 0.9814534948171711, 'r2_log_full': 0.9814534948171711, 'rmse_log': 0.2653584404234987, 'rmse_price': 0.0017614500619708862, 'mae_price': 0.0006620360762831999}, 'relspread_le1': {'n_test': 1364208, 'r2_price': 0.9938768760993614, 'r2_log_filtered': 0.98118133872917, 'r2_log_full': 0.98118133872917, 'rmse_log': 0.26220448992935574, 'rmse_price': 0.0017506546033896231, 'mae_price': 0.0006665117373335774}, 'bid_pos_and_relspread_le1': {'n_test': 1364208, 'r2_price': 0.9938768760993614, 'r2_log_filtered': 0.98118133872917, 'r2_log_full': 0.98118133872917, 'rmse_log': 0.26220448992935574, 'rmse_price': 0.0017506546033896231, 'mae_price': 0.0006665117373335774}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0006594783875624334,,train_model_v3\put\results_vol_surface_don_v5\metrics.json,0.07320603691445877,0.07320603691445877,1380379,0,79,1380379,put,0.9812983540582504,0.9812983540582504,0.9937798418402081,train_model_v3\put\results_vol_surface_don_v5,0.27056614147830615,0.0017579859009173374,v4,42,False,0.009551075013208019,81990.24124931669
A,spot_history,True,5,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_put_v5.h5,46f3ee9d03d3423c6330c2b35a4d09893b0f538bdc046bc1018ebab79861c756,True,"{'bid_pos': {'n_test': 1374766, 'r2_price': 0.9520103276483601, 'r2_log_filtered': 0.9070536714500359, 'r2_log_full': 0.9070536714500359, 'rmse_log': 0.5940431375002034, 'rmse_price': 0.004889501622729956, 'mae_price': 0.0024944278649154075}, 'relspread_le1': {'n_test': 1364208, 'r2_price': 0.9519936343421348, 'r2_log_filtered': 0.9043274578379332, 'r2_log_full': 0.9043274578379332, 'rmse_log': 0.5912067972001538, 'rmse_price': 0.004901887736529933, 'mae_price': 0.002512964088614509}, 'bid_pos_and_relspread_le1': {'n_test': 1364208, 'r2_price': 0.9519936343421348, 'r2_log_filtered': 0.9043274578379332, 'r2_log_full': 0.9043274578379332, 'rmse_log': 0.5912067972001538, 'rmse_price': 0.004901887736529933, 'mae_price': 0.002512964088614509}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0024844139398648743,,train_model_v3\put\results_spot_history_v5\metrics.json,0.3546065720922527,0.3546065720922527,1380379,0,801,1380379,put,0.9094101137091193,0.9094101137091193,0.9520775628995344,train_model_v3\put\results_spot_history_v5,0.5954885154998816,0.004879598868227711,v4,42,False,0.021476658028739822,153465.5673215756
B,spot_history,True,1,v5,C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\wrds_data_2020-2025\deeponet_tensors_put_v5.h5,46f3ee9d03d3423c6330c2b35a4d09893b0f538bdc046bc1018ebab79861c756,True,"{'bid_pos': {'n_test': 1374766, 'r2_price': 0.94224905001636, 'r2_log_filtered': 0.8988216456806669, 'r2_log_full': 0.8988216456806669, 'rmse_log': 0.6197915758934878, 'rmse_price': 0.005363771501806915, 'mae_price': 0.0028588931349875124}, 'relspread_le1': {'n_test': 1364208, 'r2_price': 0.9421988579701327, 'r2_log_filtered': 0.8957654300098828, 'r2_log_full': 0.8957654300098828, 'rmse_log': 0.6170944651231696, 'rmse_price': 0.005378759870055312, 'mae_price': 0.0028801709810365858}, 'bid_pos_and_relspread_le1': {'n_test': 1364208, 'r2_price': 0.9421988579701327, 'r2_log_filtered': 0.8957654300098828, 'r2_log_full': 0.8957654300098828, 'rmse_log': 0.6170944651231696, 'rmse_price': 0.005378759870055312, 'mae_price': 0.0028801709810365858}}","{'bid_pos': 'best_bid > 0 (excludes zero-bid quotes from the REPORT only)', 'relspread_le1': '(ask - bid) / mid <= 1 (bounded by 2 when bid >= 0)', 'bid_pos_and_relspread_le1': 'both of the above', '_not_a_filter': 'Reporting strata only. No row is dropped anywhere on liquidity.'}",0.0028473957569844282,,train_model_v3\put\results_spot_history_don_v5\metrics.json,0.38536408123328203,0.38536408123328203,1380379,0,584,1380379,put,0.9015526190235676,0.9015526190235676,0.9423302021377294,train_model_v3\put\results_spot_history_don_v5,0.6207769979898434,0.00535289702057956,v4,42,False,0.013094742179092844,153333.8824624656
