Loaded train: 3535797 samples
Loaded val: 810641 samples
Loaded test: 905029 samples
Train samples: 3535797, Val samples: 810641, Test samples: 905029
Train batches: 13811, Val batches: 1584
Test batches: 1768
FNO-DeepONet Model initialized with hidden_dim=128, num_layers=4, fno_width=32
Model parameters: 592,578

============================================================
PHASE 1: Adam Optimizer (FNO Parameter Groups)
============================================================
  Epoch 1 | Batch 100/13811 | Batch Loss: 2.231878
  Epoch 1 | Batch 200/13811 | Batch Loss: 1.485012
  Epoch 1 | Batch 300/13811 | Batch Loss: 1.056227
  Epoch 1 | Batch 400/13811 | Batch Loss: 1.003665
  Epoch 1 | Batch 500/13811 | Batch Loss: 0.745802
  Epoch 1 | Batch 600/13811 | Batch Loss: 0.619780
  Epoch 1 | Batch 700/13811 | Batch Loss: 0.708845
  Fine-tune Epoch 3/50 | Time: 452.1s
  Train Loss: 0.108328 | Val MSE: 0.165309
------------------------------------------------------------
  Epoch 4 | Batch 100/13811 | Batch Loss: 0.078574
  Epoch 4 | Batch 200/13811 | Batch Loss: 0.065260
  Epoch 4 | Batch 300/13811 | Batch Loss: 0.135179
  Epoch 4 | Batch 400/13811 | Batch Loss: 0.097987
  Epoch 4 | Batch 500/13811 | Batch Loss: 0.110031
  Epoch 4 | Batch 600/13811 | Batch Loss: 0.060312
  Epoch 4 | Batch 700/13811 | Batch Loss: 0.069802
  Epoch 4 | Batch 800/13811 | Batch Loss: 0.083152
  Epoch 4 | Batch 900/13811 | Batch Loss: 0.166577
  Epoch 4 | Batch 1000/13811 | Batch Loss: 0.116712
  Epoch 4 | Batch 1100/13811 | Batch Loss: 0.076939
  Epoch 4 | Batch 1200/13811 | Batch Loss: 0.076860
  Epoch 4 | Batch 1300/13811 | Batch Loss: 0.064448
  Epoch 4 | Batch 1400/13811 | Batch Loss: 0.126977
  Epoch 4 | Batch 1500/13811 | Batch Loss: 0.053562
  Epoch 4 | Batch 1600/13811 | Batch Loss: 0.044419
  Epoch 4 | Batch 1700/13811 | Batch Loss: 0.085718
  Epoch 4 | Batch 1800/13811 | Batch Loss: 0.090655
  Epoch 4 | Batch 1900/13811 | Batch Loss: 0.133306
  Epoch 4 | Batch 2000/13811 | Batch Loss: 0.076860
  Epoch 4 | Batch 2100/13811 | Batch Loss: 0.354134
  Epoch 4 | Batch 2200/13811 | Batch Loss: 0.138824
  Epoch 4 | Batch 2300/13811 | Batch Loss: 0.126483
  Epoch 4 | Batch 2400/13811 | Batch Loss: 0.076753
  Epoch 4 | Batch 2500/13811 | Batch Loss: 0.113761
  Epoch 4 | Batch 2600/13811 | Batch Loss: 0.083731
  Epoch 4 | Batch 2700/13811 | Batch Loss: 0.109772
  Epoch 4 | Batch 2800/13811 | Batch Loss: 0.101124
  Epoch 4 | Batch 2900/13811 | Batch Loss: 0.086476
  Epoch 4 | Batch 3000/13811 | Batch Loss: 0.439256
  Epoch 4 | Batch 3100/13811 | Batch Loss: 0.096378
  Epoch 4 | Batch 3200/13811 | Batch Loss: 0.127418
  Epoch 4 | Batch 3300/13811 | Batch Loss: 0.119746
  Epoch 4 | Batch 3400/13811 | Batch Loss: 0.126360
  Epoch 4 | Batch 3500/13811 | Batch Loss: 0.071839
  Epoch 4 | Batch 3600/13811 | Batch Loss: 0.068997
  Epoch 4 | Batch 3700/13811 | Batch Loss: 0.143815
  Epoch 4 | Batch 3800/13811 | Batch Loss: 0.124140
  Epoch 4 | Batch 3900/13811 | Batch Loss: 0.088934
  Epoch 4 | Batch 4000/13811 | Batch Loss: 0.061977
  Epoch 4 | Batch 4100/13811 | Batch Loss: 0.098881
