Config: {
  "seed": 42,
  "epochs_adam": 100,
  "epochs_finetune": 50,
  "batch_size": 256,
  "lr": 0.001,
  "finetune_lr": 1e-05,
  "grad_clip": 1.0,
  "patience_adam": 3,
  "patience_finetune": 3,
  "min_finetune_epochs": 10,
  "bs_anchor_batch_size": 256,
  "max_train_batches": null,
  "hidden_dim": 128,
  "num_layers": 4,
  "fno_width": 32,
  "lambda_data": 1.0,
  "lambda_pde": 0.5,
  "lambda_arb": 0.5,
  "lambda_bs_anchor": 0.5,
  "h5_path": "C:\\Users\\iamlz\\Documents\\__LZF_FILEs__\\DL_optionPricing\\wrds_data_2020-2025\\deeponet_tensors_call.h5",
  "branch_key": "vix_history",
  "grid_h": 21,
  "grid_w": 4,
  "modes1": 6,
  "modes2": 2,
  "option_type": "call",
  "results_dir": "C:\\Users\\iamlz\\Documents\\__LZF_FILEs__\\DL_optionPricing\\train_model\\call\\results_vix_history"
}
Device: cuda
Loading datasets...
Loaded train: 3535797 samples
Loaded val: 810641 samples
Loaded test: 905029 samples
Train samples: 3535797, Val samples: 810641, Test samples: 905029
Train batches: 13811, Val batches: 1584
Test batches: 1768
FNO-DeepONet Model initialized with hidden_dim=128, num_layers=4, fno_width=32
Model parameters: 506,562

============================================================
PHASE 1: Adam Optimizer (FNO Parameter Groups)
============================================================
  Epoch 1 | Batch 100/13811 | Batch Loss: 3.386635
  Epoch 1 | Batch 200/13811 | Batch Loss: 1.874746
  Epoch 1 | Batch 300/13811 | Batch Loss: 1.099293
  Epoch 1 | Batch 400/13811 | Batch Loss: 0.977693
  Epoch 1 | Batch 500/13811 | Batch Loss: 1.286675
  Epoch 1 | Batch 600/13811 | Batch Loss: 0.880078
  Epoch 1 | Batch 700/13811 | Batch Loss: 1.226016
  Epoch 1 | Batch 800/13811 | Batch Loss: 0.756535
  Epoch 1 | Batch 900/13811 | Batch Loss: 1.515814
  Epoch 1 | Batch 1000/13811 | Batch Loss: 0.908866
  Epoch 1 | Batch 1100/13811 | Batch Loss: 1.125481
  Epoch 1 | Batch 1200/13811 | Batch Loss: 1.159752
  Epoch 1 | Batch 1300/13811 | Batch Loss: 0.806441
  Epoch 1 | Batch 1400/13811 | Batch Loss: 0.727235
  Epoch 1 | Batch 1500/13811 | Batch Loss: 0.676354
  Epoch 1 | Batch 1600/13811 | Batch Loss: 0.566512
  Epoch 1 | Batch 1700/13811 | Batch Loss: 0.710021
  Epoch 1 | Batch 1800/13811 | Batch Loss: 0.649772
  Epoch 1 | Batch 1900/13811 | Batch Loss: 0.611798
  Epoch 1 | Batch 2000/13811 | Batch Loss: 0.443041
  Epoch 1 | Batch 2100/13811 | Batch Loss: 0.599755
  Epoch 1 | Batch 2200/13811 | Batch Loss: 0.506210
