(dl_new) C:\Users\iamlz\Documents\__LZF_FILEs__\DL_optionPricing\train_model\call>python train_vol_surface.py
Config: {
  "seed": 42,
  "epochs_adam": 100,
  "epochs_finetune": 50,
  "batch_size": 256,
  "lr": 0.001,
  "finetune_lr": 1e-05,
  "grad_clip": 1.0,
  "patience_adam": 3,
  "patience_finetune": 3,
  "min_finetune_epochs": 10,
  "bs_anchor_batch_size": 256,
  "max_train_batches": null,
  "hidden_dim": 128,
  "num_layers": 4,
  "fno_width": 32,
  "lambda_data": 1.0,
  "lambda_pde": 0.5,
  "lambda_arb": 0.5,
  "lambda_bs_anchor": 0.5,
  "h5_path": "C:\\Users\\iamlz\\Documents\\__LZF_FILEs__\\DL_optionPricing\\wrds_data_2020-2025\\deeponet_tensors_call.h5",
  "branch_key": "branch_u",
  "grid_h": 11,
  "grid_w": 17,
  "modes1": 4,
  "modes2": 8,
  "option_type": "call",
  "results_dir": "C:\\Users\\iamlz\\Documents\\__LZF_FILEs__\\DL_optionPricing\\train_model\\call\\results_vol_surface"
}
Device: cuda
Loading datasets...
Loaded train: 3535797 samples
Loaded val: 810641 samples
Loaded test: 905029 samples
Train samples: 3535797, Val samples: 810641, Test samples: 905029
Train batches: 13811, Val batches: 1584
Test batches: 1768
FNO-DeepONet Model initialized with hidden_dim=128, num_layers=4, fno_width=32
Model parameters: 1,092,290

============================================================
PHASE 1: Adam Optimizer (FNO Parameter Groups)
============================================================
  Epoch 1 | Batch 100/13811 | Batch Loss: 2.584873
  Epoch 1 | Batch 200/13811 | Batch Loss: 1.367031
  Epoch 1 | Batch 300/13811 | Batch Loss: 1.154781
  Epoch 1 | Batch 400/13811 | Batch Loss: 0.643706
  Epoch 1 | Batch 500/13811 | Batch Loss: 0.880155
  Epoch 1 | Batch 600/13811 | Batch Loss: 0.888526
  Epoch 1 | Batch 700/13811 | Batch Loss: 1.070439
  Epoch 1 | Batch 800/13811 | Batch Loss: 0.839119
  Epoch 1 | Batch 900/13811 | Batch Loss: 0.407133
  Epoch 1 | Batch 1000/13811 | Batch Loss: 0.219088
  Epoch 1 | Batch 1100/13811 | Batch Loss: 0.381055
  Epoch 1 | Batch 1200/13811 | Batch Loss: 0.276287
  Epoch 1 | Batch 1300/13811 | Batch Loss: 0.408361
  Epoch 1 | Batch 1400/13811 | Batch Loss: 0.501103
  Epoch 1 | Batch 1500/13811 | Batch Loss: 0.243482
  Epoch 1 | Batch 1600/13811 | Batch Loss: 0.900255
  Epoch 1 | Batch 1700/13811 | Batch Loss: 0.442973
  Epoch 1 | Batch 1800/13811 | Batch Loss: 0.379764
  Epoch 1 | Batch 1900/13811 | Batch Loss: 0.390469
  Epoch 1 | Batch 2000/13811 | Batch Loss: 0.337092
  Epoch 1 | Batch 2100/13811 | Batch Loss: 0.204821
  Epoch 1 | Batch 2200/13811 | Batch Loss: 0.248196
  Epoch 1 | Batch 2300/13811 | Batch Loss: 0.219328
  Epoch 1 | Batch 2400/13811 | Batch Loss: 0.320642
  Epoch 1 | Batch 2500/13811 | Batch Loss: 0.484441
  Epoch 1 | Batch 2600/13811 | Batch Loss: 0.392318
  Epoch 1 | Batch 2700/13811 | Batch Loss: 0.189112
  Epoch 1 | Batch 2800/13811 | Batch Loss: 0.457686
  Epoch 1 | Batch 2900/13811 | Batch Loss: 0.199748
  Epoch 1 | Batch 3000/13811 | Batch Loss: 0.194096
  Epoch 1 | Batch 3100/13811 | Batch Loss: 0.186108
  Epoch 1 | Batch 3200/13811 | Batch Loss: 0.234811
  Epoch 1 | Batch 3300/13811 | Batch Loss: 0.320673
  Epoch 1 | Batch 3400/13811 | Batch Loss: 0.280092
  Epoch 1 | Batch 3500/13811 | Batch Loss: 0.221477
  Epoch 1 | Batch 3600/13811 | Batch Loss: 0.640099
  Epoch 1 | Batch 3700/13811 | Batch Loss: 0.143294
  Epoch 1 | Batch 3800/13811 | Batch Loss: 0.569003
  Epoch 1 | Batch 3900/13811 | Batch Loss: 0.374402
  Epoch 1 | Batch 4000/13811 | Batch Loss: 0.320839
  Epoch 1 | Batch 4100/13811 | Batch Loss: 0.328779
  Epoch 1 | Batch 4200/13811 | Batch Loss: 0.248344
  Epoch 1 | Batch 4300/13811 | Batch Loss: 0.232776
  Epoch 1 | Batch 4400/13811 | Batch Loss: 0.368481
  Epoch 1 | Batch 4500/13811 | Batch Loss: 0.148328
  Epoch 1 | Batch 4600/13811 | Batch Loss: 0.498606
  Epoch 1 | Batch 4700/13811 | Batch Loss: 0.282921
  Epoch 1 | Batch 4800/13811 | Batch Loss: 0.318794
  Epoch 1 | Batch 4900/13811 | Batch Loss: 0.218343
  Epoch 1 | Batch 5000/13811 | Batch Loss: 0.184250
  Epoch 1 | Batch 5100/13811 | Batch Loss: 0.310246
  Epoch 1 | Batch 5200/13811 | Batch Loss: 0.216751
  Epoch 1 | Batch 5300/13811 | Batch Loss: 0.255436
  Epoch 1 | Batch 5400/13811 | Batch Loss: 0.298609
  Epoch 1 | Batch 5500/13811 | Batch Loss: 0.273874
  Epoch 1 | Batch 5600/13811 | Batch Loss: 0.157683
  Epoch 1 | Batch 5700/13811 | Batch Loss: 0.346887
  Epoch 1 | Batch 5800/13811 | Batch Loss: 0.111035
  Epoch 1 | Batch 5900/13811 | Batch Loss: 0.212994
  Epoch 1 | Batch 6000/13811 | Batch Loss: 0.274847
  Epoch 1 | Batch 6100/13811 | Batch Loss: 0.420639
  Epoch 1 | Batch 6200/13811 | Batch Loss: 0.144721
  Epoch 1 | Batch 6300/13811 | Batch Loss: 0.355919
  Epoch 1 | Batch 6400/13811 | Batch Loss: 0.308120
  Epoch 1 | Batch 6500/13811 | Batch Loss: 0.170479
  Epoch 1 | Batch 6600/13811 | Batch Loss: 0.231586
  Epoch 1 | Batch 6700/13811 | Batch Loss: 0.120081
  Epoch 1 | Batch 6800/13811 | Batch Loss: 0.565299
  Epoch 1 | Batch 6900/13811 | Batch Loss: 0.294317
  Epoch 1 | Batch 7000/13811 | Batch Loss: 0.226206
  Epoch 1 | Batch 7100/13811 | Batch Loss: 0.444897
  Epoch 1 | Batch 7200/13811 | Batch Loss: 0.170962
  Epoch 1 | Batch 7300/13811 | Batch Loss: 0.223425
  Epoch 1 | Batch 7400/13811 | Batch Loss: 0.276401
  Epoch 1 | Batch 7500/13811 | Batch Loss: 0.205262
  Epoch 1 | Batch 7600/13811 | Batch Loss: 0.202720
  Epoch 1 | Batch 7700/13811 | Batch Loss: 0.144205
  Epoch 1 | Batch 7800/13811 | Batch Loss: 0.253719
  Epoch 1 | Batch 7900/13811 | Batch Loss: 0.259560
  Epoch 1 | Batch 8000/13811 | Batch Loss: 0.194683
  Epoch 1 | Batch 8100/13811 | Batch Loss: 0.229965
  Epoch 1 | Batch 8200/13811 | Batch Loss: 0.140308
  Epoch 1 | Batch 8300/13811 | Batch Loss: 0.147122
  Epoch 1 | Batch 8400/13811 | Batch Loss: 0.317475
  Epoch 1 | Batch 8500/13811 | Batch Loss: 0.245633
  Epoch 1 | Batch 8600/13811 | Batch Loss: 0.278550
  Epoch 1 | Batch 8700/13811 | Batch Loss: 0.425748
  Epoch 1 | Batch 8800/13811 | Batch Loss: 0.125042
  Epoch 1 | Batch 8900/13811 | Batch Loss: 0.149334
  Epoch 1 | Batch 9000/13811 | Batch Loss: 0.351362
  Epoch 1 | Batch 9100/13811 | Batch Loss: 0.128322
  Epoch 1 | Batch 9200/13811 | Batch Loss: 0.137389
  Epoch 1 | Batch 9300/13811 | Batch Loss: 0.192756
  Epoch 1 | Batch 9400/13811 | Batch Loss: 0.164386
  Epoch 1 | Batch 9500/13811 | Batch Loss: 0.088020
  Epoch 1 | Batch 9600/13811 | Batch Loss: 0.169688
  Epoch 1 | Batch 9700/13811 | Batch Loss: 0.159887
  Epoch 1 | Batch 9800/13811 | Batch Loss: 0.207377
  Epoch 1 | Batch 9900/13811 | Batch Loss: 0.171117
  Epoch 1 | Batch 10000/13811 | Batch Loss: 0.133125
  Epoch 1 | Batch 10100/13811 | Batch Loss: 0.368284
  Epoch 1 | Batch 10200/13811 | Batch Loss: 0.195140
  Epoch 1 | Batch 10300/13811 | Batch Loss: 0.100460
  Epoch 1 | Batch 10400/13811 | Batch Loss: 0.194879
  Epoch 1 | Batch 10500/13811 | Batch Loss: 0.147893
  Epoch 1 | Batch 10600/13811 | Batch Loss: 0.162122
  Epoch 1 | Batch 10700/13811 | Batch Loss: 0.218434
  Epoch 1 | Batch 10800/13811 | Batch Loss: 0.186267
  Epoch 1 | Batch 10900/13811 | Batch Loss: 0.172059
  Epoch 1 | Batch 11000/13811 | Batch Loss: 0.285777
  Epoch 1 | Batch 11100/13811 | Batch Loss: 0.124629
  Epoch 1 | Batch 11200/13811 | Batch Loss: 0.164501
  Epoch 1 | Batch 11300/13811 | Batch Loss: 0.157897
  Epoch 1 | Batch 11400/13811 | Batch Loss: 0.134870
  Epoch 1 | Batch 11500/13811 | Batch Loss: 0.133419
  Epoch 1 | Batch 11600/13811 | Batch Loss: 0.137559
  Epoch 1 | Batch 11700/13811 | Batch Loss: 0.160486
