Epoch	Train_MSE	Val_MSE	Val_RMSE
1	2.186e-01	3.602e-02	1.898e-01
2	1.545e-02	1.392e-02	1.180e-01
3	1.391e-02	6.553e-03	8.095e-02
4	7.608e-03	1.718e-02	1.311e-01
5	9.292e-03	6.849e-03	8.276e-02
6	9.567e-03	7.110e-03	8.432e-02
7	6.407e-03	5.643e-03	7.512e-02
8	6.509e-03	3.763e-03	6.134e-02
9	6.842e-03	1.207e-02	1.099e-01
10	5.139e-03	4.659e-03	6.825e-02
11	5.481e-03	1.018e-02	1.009e-01
12	5.326e-03	5.174e-03	7.193e-02
13	4.583e-03	4.487e-03	6.699e-02
14	5.157e-03	7.283e-03	8.534e-02
15	3.886e-03	4.037e-03	6.354e-02
16	4.273e-03	1.205e-03	3.471e-02
17	4.869e-03	1.149e-03	3.389e-02
18	3.626e-03	3.903e-03	6.248e-02
19	3.637e-03	1.298e-02	1.139e-01
20	4.819e-03	3.755e-03	6.128e-02
21	3.486e-03	9.836e-03	9.918e-02
22	3.220e-03	1.123e-03	3.352e-02
23	3.272e-03	1.642e-03	4.052e-02
24	3.435e-03	5.802e-03	7.617e-02
25	3.184e-03	1.460e-03	3.821e-02
26	2.681e-03	5.121e-04	2.263e-02
27	2.931e-03	2.525e-03	5.025e-02
28	2.733e-03	3.410e-03	5.840e-02
29	2.879e-03	1.074e-03	3.277e-02
30	3.276e-03	2.069e-03	4.549e-02
31	3.047e-03	3.317e-03	5.759e-02
32	2.946e-03	3.422e-03	5.849e-02
33	2.949e-03	2.783e-03	5.275e-02
34	2.222e-03	6.785e-04	2.605e-02
35	2.244e-03	9.628e-04	3.103e-02
36	2.087e-03	3.359e-03	5.796e-02
37	2.159e-03	1.142e-03	3.379e-02
38	2.578e-03	1.826e-03	4.273e-02
39	1.901e-03	3.737e-03	6.113e-02
40	2.526e-03	3.320e-03	5.762e-02
41	1.754e-03	4.201e-03	6.482e-02
42	2.919e-03	6.905e-04	2.628e-02
43	2.068e-03	7.151e-03	8.456e-02
44	2.020e-03	1.599e-03	3.999e-02
45	2.101e-03	6.044e-04	2.458e-02
46	2.000e-03	3.302e-03	5.746e-02
47	1.988e-03	2.045e-03	4.522e-02
48	1.853e-03	1.422e-03	3.771e-02
49	1.805e-03	1.505e-03	3.879e-02
50	2.144e-03	1.160e-03	3.407e-02
51	1.718e-03	2.716e-04	1.648e-02
52	2.246e-03	1.544e-03	3.929e-02
53	1.946e-03	1.566e-03	3.957e-02
54	2.223e-03	1.601e-03	4.001e-02
55	1.901e-03	3.773e-03	6.143e-02
56	1.689e-03	1.869e-03	4.323e-02
57	1.797e-03	1.142e-03	3.379e-02
58	1.617e-03	2.251e-03	4.745e-02
59	1.664e-03	1.312e-03	3.622e-02
60	1.721e-03	1.188e-03	3.446e-02
61	2.476e-03	1.355e-03	3.682e-02
62	9.956e-04	3.379e-03	5.813e-02
63	1.979e-03	7.618e-04	2.760e-02
64	1.194e-03	8.962e-04	2.994e-02
65	2.186e-03	1.091e-03	3.303e-02
66	1.459e-03	2.428e-03	4.928e-02
67	1.756e-03	7.922e-04	2.815e-02
68	1.127e-03	4.392e-03	6.628e-02
69	1.557e-03	3.346e-03	5.785e-02
70	1.754e-03	2.020e-03	4.494e-02
71	1.274e-03	3.884e-03	6.233e-02
72	1.345e-03	8.425e-04	2.903e-02
73	1.862e-03	4.068e-03	6.378e-02
74	1.360e-03	8.073e-04	2.841e-02
